series,date,twd_predawn,mds,n_obs,mds_max,twd_norm,mds_norm,drought_stress_onset
P11,2024-12-12,1027,1066,96,2030.3599999999997,0.505821627691641,0.5250300439330957,FALSE
P11,2024-12-13,1045,1083,96,2030.3599999999997,0.5146870505723123,0.5334029433203965,FALSE
P11,2024-12-14,1043,1102,96,2030.3599999999997,0.5137020035855712,0.5427608896944385,FALSE
P11,2024-12-15,1056,1102,96,2030.3599999999997,0.5201048089993894,0.5427608896944385,FALSE
P11,2024-12-16,1064,1114,96,2030.3599999999997,0.5240449969463544,0.5486711716148861,FALSE
P11,2024-12-17,1077,1163,96,2030.3599999999997,0.5304478023601726,0.5728048227900472,FALSE
P11,2024-12-18,1083,1170,96,2030.3599999999997,0.5334029433203965,0.5762524872436416,FALSE
P11,2024-12-19,1065,1156,96,2030.3599999999997,0.524537520439725,0.5693571583364527,FALSE
P11,2024-12-20,1070,1165,96,2030.3599999999997,0.5270001379065782,0.5737898697767885,FALSE
P11,2024-12-21,1069,1165,96,2030.3599999999997,0.5265076144132076,0.5737898697767885,FALSE
P11,2024-12-22,1111,1183,96,2030.3599999999997,0.5471936011347742,0.5826552926574599,FALSE
P11,2024-12-23,1132,1204,96,2030.3599999999997,0.5575365944955575,0.5929982860182431,FALSE
P11,2024-12-24,1094,1199,96,2030.3599999999997,0.5388207017474734,0.59053566855139,FALSE
P11,2024-12-25,1082,1169,96,2030.3599999999997,0.5329104198270258,0.5757599637502709,FALSE
P11,2024-12-26,1038,1149,96,2030.3599999999997,0.511239386118718,0.5659094938828583,FALSE
P11,2024-12-27,1021,1087,96,2030.3599999999997,0.5028664867314172,0.535373037293879,FALSE
P11,2024-12-28,1016,1119,96,2030.3599999999997,0.500403869264564,0.5511337890817393,FALSE
P11,2024-12-29,1017,1093,96,2030.3599999999997,0.5008963927579346,0.5383281782541028,FALSE
P11,2024-12-30,1040,1141,96,2030.3599999999997,0.5122244331054592,0.5619693059358932,FALSE
P11,2024-12-31,1073,1169,96,2030.3599999999997,0.5284777083866902,0.5757599637502709,FALSE
P11,2025-01-01,1035,1163,96,2030.3599999999997,0.509761815638606,0.5728048227900472,FALSE
P11,2025-01-02,1048,1129,96,2030.3599999999997,0.5161646210524243,0.5560590240154456,FALSE
P11,2025-01-03,1074,1160,96,2030.3599999999997,0.5289702318800608,0.5713272523099353,FALSE
P11,2025-01-04,1091,1208,96,2030.3599999999997,0.5373431312673616,0.5949683799917257,FALSE
P11,2025-01-05,1105,1258,96,2030.3599999999997,0.5442384601745505,0.6195945546602574,FALSE
P11,2025-01-06,1077,1156,96,2030.3599999999997,0.5304478023601726,0.5693571583364527,FALSE
P11,2025-01-07,1081,1416,96,2030.3599999999997,0.5324178963336552,0.6974132666128176,FALSE
P11,2025-01-08,1302,1410,96,2030.3599999999997,0.6412655883685653,0.6944581256525938,FALSE
P11,2025-01-09,1406,1408,96,2030.3599999999997,0.6924880316791112,0.6934730786658525,FALSE
P11,2025-01-10,1401,1418,96,2030.3599999999997,0.690025414212258,0.6983983135995588,FALSE
P11,2025-01-11,955,1418,96,2030.3599999999997,0.47035993616895533,0.6983983135995588,FALSE
P11,2025-01-12,936,1170,96,2030.3599999999997,0.4610019897949133,0.5762524872436416,FALSE
P11,2025-01-13,1057,1183,96,2030.3599999999997,0.52059733249276,0.5826552926574599,FALSE
P11,2025-01-14,848,1144,96,2030.3599999999997,0.4176599223782975,0.5634468764160051,FALSE
P11,2025-01-15,842,1129,96,2030.3599999999997,0.4147047814180737,0.5560590240154456,FALSE
